feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127,label,cnn_pred,cnn_conf
1.2384541,0.0,4.2600713,0.0,0.0,0.0,0.0,0.0,0.0,2.3840275,0.0,0.0,0.011443285,0.0,0.0,3.7346368,0.0,0.0,0.71810097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5243331,0.0,4.6263356,0.0,0.0,0.0,0.0,0.0,0.52451444,0.24558894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2573707,0.0,0.0,0.0,0.0,0.0,2.7366188,0.0,4.280525,1.3057964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9705818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24471433,0.0,0.0,0.0,2.4273403,0.0,0.0,0.30864373,0.0,0.0,0.0,3.2617116,0.0,0.0,0.4254275,0.0,0.5875735,0.0,3.8338084,2.775443,0.0,0.0,0.36173683,0.0,0.0,0.0,3.602786,3.6195302,0.0,4.3339343,0.0,0.0,0.0,0.0,0.0,0.0,1.350287,0.0,2.6308293,0.0,0.0,1.2715074,2.6017828,0.0,0.0,0.0,0.0,1.1899037,0.0,0.0,5.3931475,0.0,3.1925242,Finke,Finke,0.9430705
1.4465688,0.0,4.6786094,0.0,0.0,0.0,0.0,0.0,0.0,2.6216805,0.0,0.0,0.17271268,0.0,0.0,3.9579394,0.0,0.0,1.9731787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8945107,0.0,4.1458774,0.0,0.0,0.0,0.0,0.0,0.5939549,0.8812852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3721554,0.0,0.0,0.0,0.0,0.0,2.76687,0.0,4.587254,1.6557761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9632173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53617865,0.0,0.0,0.0,2.8802793,0.0,0.0,0.0,0.0,0.0,0.0,3.762781,0.0,0.0,0.14611994,0.0,1.4225998,0.0,4.720994,2.881892,0.0,0.0,0.19899178,0.0,0.0,0.0,3.4980514,3.250031,0.0,4.1140466,0.0,0.0,0.0,0.0,0.0,0.0,1.5535153,0.0,2.6421735,0.0,0.4286235,1.6927512,3.4988303,0.0,0.0,0.0,0.0,1.2260718,0.0,0.0,5.69039,0.91854334,3.069595,Finke,Finke,0.982498
1.5446101,0.0,4.768,0.0,0.0,0.0,0.0,0.0,0.0,2.4960694,0.0,0.0,0.0,0.0,0.0,3.6352646,0.0,0.0,1.0976816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19208789,0.0,4.2719545,0.0,0.0,0.0,0.0,0.0,0.27789328,0.2360303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2547517,0.0,0.0,0.0,0.0,0.0,3.191537,0.0,4.2719526,1.7900008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6703668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7948858,0.0,0.0,0.0,2.497565,0.0,0.0,0.0,0.0,0.0,0.0,3.0976324,0.0,0.0,0.0,0.0,0.96769476,0.0,4.127847,2.6365914,0.0,0.0,0.2751451,0.0,0.0,0.0,3.1064768,2.32786,0.0,3.7900932,0.0,0.0,0.0,0.0,0.0,0.0,1.4150832,0.01183044,2.407619,0.0,0.08778596,1.707101,3.0698771,0.0,0.0,0.0,0.0,0.8731702,0.0,0.0,5.0753374,0.3269152,3.326969,Finke,Finke,0.96164066
1.5316701,0.0,4.3147697,0.0,0.0,0.0,0.0,0.0,0.0,2.250265,0.0,0.0,0.07358325,0.0,0.0,3.543392,0.0,0.0,2.0717003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7038705,0.0,3.5184672,0.0,0.0,0.0,0.0,0.0,0.31418929,0.50169265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1968334,0.0,0.0,0.0,0.0,0.0,2.5092888,0.0,3.9837704,1.2929531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5534203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438765,0.0,0.0,0.0,2.6174755,0.0,0.0,0.0,0.0,0.0,0.0,2.9432359,0.0,0.0,0.0,0.0,1.1425542,0.0,3.9725504,2.24547,0.0,0.0,0.07897659,0.0,0.0,0.0,2.996868,2.5200655,0.0,3.3743477,0.0,0.0,0.0,0.0,0.0,0.0,1.3662984,0.0,2.3090587,0.0,0.49059302,1.6509514,2.7406943,0.0,0.0,0.0,0.0,0.9888323,0.0,0.0,4.957729,0.7967549,2.9463153,Finke,Finke,0.9704432
1.0417975,0.0,4.3322577,0.0,0.0,0.0,0.0,0.0,0.0,2.5052576,0.0,0.0,0.25834286,0.0,0.0,3.66894,0.0,0.0,2.1496096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29191577,0.0,3.0161195,0.0,0.0,0.0,0.0,0.0,0.0,0.26418385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4997317,0.0,0.0,0.0,0.0,0.0,2.976836,0.0,4.020806,1.4656824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5052257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0489488,0.0,0.0,0.22858857,2.2764523,0.0,0.0,0.0,0.0,0.0,0.0,2.1045935,0.0,0.0,0.0,0.0,1.2800118,0.0,4.258793,2.1648042,0.0,0.0,0.0,0.0,0.0,0.0,1.5885803,0.95877296,0.0,3.0713003,0.0,0.0,0.4311647,0.0,0.0,0.0,1.4521399,0.9596692,1.984572,0.0,1.1517208,1.1315093,2.3721797,0.0,0.0,1.5784421,0.0,1.6889511,0.0,0.0,4.33019,0.14474946,3.3515353,Finke,Finke,0.9644095
1.316093,0.0,5.5230474,0.0,0.0,0.0,0.0,0.0,0.0,2.69053,0.0,0.0,0.14054051,0.0,0.0,4.08824,0.0,0.0,1.6736493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18254006,0.0,4.717696,0.0,0.0,0.0,0.0,0.0,0.2467128,0.84170085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.677594,0.0,0.0,0.0,0.0,0.0,3.3192616,0.0,6.700363,2.714257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9465597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4494994,0.0,0.0,0.0,3.4569407,0.0,0.0,0.0,0.0,0.0,0.0,3.8660445,0.0,0.0,0.0,0.0,1.7368714,0.0,5.7708826,2.686959,0.0,0.0,0.41345626,0.0,0.0,0.0,2.7704122,2.2315264,0.0,4.7438965,0.0,0.0,0.0,0.0,0.0,0.0,2.3220532,0.00786384,2.5800357,0.0,1.5182642,1.862645,4.298817,0.0,0.0,0.3564179,0.0,2.115416,0.0,0.0,5.892406,1.5103545,3.7724967,Finke,Finke,0.99315953
1.8623861,0.0,7.1458974,0.0,0.0,0.0,0.0,0.0,0.0,3.078169,0.0,0.0,0.7163073,0.0,0.0,6.568075,0.0,0.0,1.357528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0887203,0.0,2.9005246,0.0,0.0,0.0,0.0,0.0,0.7448941,0.860446,0.0,0.51993555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7489455,0.0,0.0,0.0,0.0,0.0,1.2808282,0.0,6.2304473,3.3926196,0.0,0.0,0.0,0.0,0.050007,0.0,0.0,0.0,0.0,0.0,0.0,3.5193312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7218883,0.0,0.0,0.0,3.2358046,0.0,0.0,0.4959338,0.0,0.06755149,0.0,2.7231107,0.0,0.0,0.0,0.0,0.0,0.0,5.781605,3.3872788,0.0,0.0,0.30314913,0.0,0.0,0.0,3.4423769,1.363874,0.0,4.9893494,0.0,0.0,0.0,0.0,0.0,0.0,1.1432602,0.0,2.6992166,0.0,0.5939551,2.831883,3.318733,0.0,0.0,0.0,0.0,0.21466824,0.0,0.0,6.173792,4.415711,5.2416005,Finke,Finke,0.98908806
1.8003348,0.0,2.439721,0.10200561,0.0,0.0,0.0,0.93223894,0.0,0.18382406,0.0,0.0,0.0,0.0,0.0,1.206312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7183313,0.0,0.0,0.0,0.86490947,1.5920969,0.0,0.0,0.0,0.0,0.33876976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6234934,0.0,0.0,0.0,1.4323534,1.9508061,0.0,0.0,0.0,0.0,0.0,0.0,1.4610751,0.0,1.8400996,0.49954107,0.0,0.0,0.0,1.5287147,0.21321896,0.0,0.0,0.51641685,0.0,0.0,1.4591758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3779324,0.0,0.0,1.0556712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85606754,0.24765106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6643041,0.0,0.0,0.46887925,1.0976652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3407878,MacDonnell Ranges,MacDonnell Ranges,0.48085445
0.0,0.0,1.906976,0.0,0.0,0.0,0.0,1.2226893,0.0,0.61930674,0.0,0.0,0.22234038,0.0,0.0,0.36456448,0.0,0.0,0.93039954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8105383,0.0,0.0,0.0,0.74996924,0.0,0.0,0.0,0.20595153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47335824,0.0,0.0,0.0,0.0,0.0,1.0526798,0.38345706,1.1979492,0.0,0.0,0.28227243,0.4132674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28830725,0.0,0.0,0.0,0.0,0.0,1.2982941,0.0,0.0,0.8210815,0.0,0.0,1.6442113,0.50715375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15261841,0.0,0.0,0.0,0.7231622,0.0,0.0,0.4344145,0.68933576,0.5454031,0.0,0.5179751,0.0,0.0,0.47670645,0.0,0.0,0.0,1.006976,2.992537,0.0,0.0,0.72637343,2.0488713,0.85743135,0.0,0.0,0.97866017,0.0,0.0,0.0,0.0,1.0014124,0.0,0.72326946,MacDonnell Ranges,Burt Plain,0.17913604
0.0,0.0,1.8022838,0.0,0.0,0.0,0.0,1.0670022,0.0,0.7862581,0.0,0.0,0.53268665,0.0,0.0,0.512614,0.0,0.0,0.82787377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14790903,0.9369319,0.0,0.0,0.0,0.12000092,0.24937071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0261827,0.0,0.0,0.0,0.0,0.0,1.7158455,0.18462785,0.7560129,0.111633286,0.0,0.5683303,0.25017354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539139,0.0,0.0,0.0,0.0,0.0,1.1456307,0.0,0.0,0.052981187,0.0,0.0,1.1705416,0.25959817,0.6428616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20931777,0.0,0.0,0.0,0.7036415,0.0,0.0,0.89471084,0.59475446,0.2280225,0.0,0.7456122,0.0,0.0,0.6758678,0.0,0.0,0.0,1.2767432,1.3950307,0.0,0.0,0.5455802,1.4195639,0.70116484,0.0,0.0,0.0656154,0.0,0.0,0.0,0.0,0.7311575,0.0,1.1579957,MacDonnell Ranges,MacDonnell Ranges,0.16916288
